t, y, yd
3.640000000000000124e+00,-4.427660330193032567e-02,2.436647400031037858e-01
3.649999999999999911e+00,-4.184776654718302957e-02,2.420971208817382092e-01
3.660000000000000142e+00,-3.943476938917531149e-02,2.404969225402426303e-01
3.669999999999999929e+00,-3.703793440540718851e-02,2.388647875902639717e-01
3.680000000000000160e+00,-3.465757775030335608e-02,2.372013585999399321e-01
3.689999999999999947e+00,-3.229400915741827138e-02,2.355072779645886738e-01
3.700000000000000178e+00,-2.994753194310060401e-02,2.337831877784345147e-01
3.709999999999999964e+00,-2.761844301162037080e-02,2.320297297073721510e-01
3.720000000000000195e+00,-2.530703286175565656e-02,2.302475448627674393e-01
3.729999999999999982e+00,-2.301358558935671234e-02,2.284372736846533303e-01
3.740000000000000213e+00,-2.073837879729800021e-02,2.265995559692811356e-01
3.750000000000000000e+00,-1.848168372320907818e-02,2.247350305681505567e-01
3.760000000000000231e+00,-1.624376525237391372e-02,2.228443352652465237e-01
3.770000000000000018e+00,-1.402488190127941167e-02,2.209281067022594025e-01
3.780000000000000249e+00,-1.182528583091954286e-02,2.189869802617319672e-01
3.790000000000000036e+00,-9.645222861462795366e-03,2.170215899513962543e-01
3.800000000000000266e+00,-7.484932488279812113e-03,2.150325682896982171e-01
3.810000000000000053e+00,-5.344647899334311995e-03,2.130205461925122334e-01
3.820000000000000284e+00,-3.224595979410976171e-03,2.109861528764798433e-01
3.830000000000000071e+00,-1.124997179166430800e-03,2.089300159086681097e-01
3.839999999999999858e+00,9.539342428978199451e-04,2.068527608624805836e-01
3.850000000000000089e+00,3.011990232082768781e-03,2.047550112457808269e-01
3.859999999999999876e+00,5.048968951598375651e-03,2.026373884342659026e-01
3.870000000000000107e+00,7.064674758652743011e-03,2.005005115670649984e-01
3.879999999999999893e+00,9.058918179243868884e-03,1.983449974435984586e-01
3.890000000000000124e+00,1.103151588165671854e-02,1.961714604216937552e-01
3.899999999999999911e+00,1.298229064866276983e-02,1.939805123169613121e-01
3.910000000000000142e+00,1.491107134842489454e-02,1.917727623034277962e-01
3.919999999999999929e+00,1.681769290410473072e-02,1.895488168154291220e-01
3.930000000000000160e+00,1.870199627691916666e-02,1.873092794637030711e-01
3.939999999999999947e+00,2.056382878789477994e-02,1.850547512511958037e-01
3.950000000000000178e+00,2.240304365650289120e-02,1.827858301038263467e-01
3.959999999999999964e+00,2.421949993797848158e-02,1.805031107536213264e-01
3.970000000000000195e+00,2.601306261281784854e-02,1.782071847578286794e-01
3.979999999999999982e+00,2.778360255247707897e-02,1.758986404117574009e-01
3.990000000000000213e+00,2.953099648393042731e-02,1.735780626630098467e-01
4.000000000000000000e+00,3.125512695308604177e-02,1.712460330271101949e-01
4.009999999999999787e+00,3.295588228706153311e-02,1.689031295045257675e-01
4.020000000000000462e+00,3.463315655531740839e-02,1.665499264990834560e-01
4.030000000000000249e+00,3.628684952964880694e-02,1.641869947377813665e-01
4.040000000000000036e+00,3.791686664653454164e-02,1.618149011935219317e-01
4.049999999999999822e+00,3.952311929236972804e-02,1.594342091509522163e-01
4.060000000000000497e+00,4.110552446237842467e-02,1.570454780002797923e-01
4.070000000000000284e+00,4.266400455443920131e-02,1.546492630919877320e-01
4.080000000000000071e+00,4.419848749326414639e-02,1.522461157379168539e-01
4.089999999999999858e+00,4.570890668743438079e-02,1.498365831411458959e-01
4.099999999999999645e+00,4.719520098545137293e-02,1.474212083273332141e-01
4.110000000000000320e+00,4.865731463080337493e-02,1.450005300775214778e-01
4.120000000000000107e+00,5.009519721604628606e-02,1.425750828624061106e-01
4.129999999999999893e+00,5.150880363590099043e-02,1.401453967780645626e-01
4.139999999999999680e+00,5.289809403936444193e-02,1.377119974831504390e-01
4.150000000000000355e+00,5.426303378083668222e-02,1.352754061375491812e-01
4.160000000000000142e+00,5.560359365661923792e-02,1.328361394104378701e-01
4.169999999999999929e+00,5.691974972057761706e-02,1.303947093901934307e-01
4.179999999999999716e+00,5.821148289119481428e-02,1.279516234465050417e-01
4.190000000000000391e+00,5.947877913104120118e-02,1.255073842299920250e-01
4.200000000000000178e+00,6.072162939712623386e-02,1.230624896191593876e-01
4.209999999999999964e+00,6.194002959042481382e-02,1.206174326688518039e-01
4.219999999999999751e+00,6.313398050458501887e-02,1.181727015602121178e-01
4.230000000000000426e+00,6.430348777381897363e-02,1.157287795521412394e-01
4.240000000000000213e+00,6.544856181997549260e-02,1.132861449342617705e-01
4.250000000000000000e+00,6.656921779879627910e-02,1.108452709813820686e-01
4.259999999999999787e+00,6.766547554535345954e-02,1.084066259094648849e-01
4.270000000000000462e+00,6.873735973015057676e-02,1.059706728265152331e-01
4.280000000000000249e+00,6.978489984910847543e-02,1.035378696901170098e-01
4.290000000000000036e+00,7.080812968549610176e-02,1.011086692828788436e-01
4.299999999999999822e+00,7.180708751397218981e-02,9.868351916626273701e-02
4.310000000000000497e+00,7.278181605027662926e-02,9.626286164380433441e-02
4.320000000000000284e+00,7.373236239597596997e-02,9.384713372596573122e-02
4.330000000000000071e+00,7.465877798255694808e-02,9.143676709648337897e-02
4.339999999999999858e+00,7.556111851486582709e-02,8.903218808021556852e-02
4.350000000000000533e+00,7.643944391389528858e-02,8.663381761248616086e-02
4.360000000000000320e+00,7.729381825891770696e-02,8.424207120992681375e-02
4.370000000000000107e+00,7.812430972896614034e-02,8.185735894281460923e-02
4.379999999999999893e+00,7.893099069838631354e-02,7.948008537427839193e-02
